country,year,log_gdppc_growth,rgdpe,rgdp_pc,tariff,tariff_import_weighted,tariff_lag1,tariff_lag2,trade_gdp,income_group,hc,csh_i,csh_g,pl_i,pop_growth
Albania,1997,-20.280173718424166,12118.62109375,3752.2900533647503,19.35,14.413559548318247,,,44.7293780649181,Low-income countries,2.6345043182373,0.0920959711074829,0.252641439437866,0.322220335325146,-0.004947396621565181
Albania,2000,10.814409753199428,14723.3681640625,4650.2463447894725,10.36,11.650889203150975,14.413559548318247,,61.6092610436407,Lower-middle-income countries,2.8011474609375,0.201741993427277,0.21297100186348,0.366630587002939,-0.007064673853850234
Albania,2001,9.658315884332147,16123.0927734375,5121.786758349023,5.6,11.283571148623826,11.650889203150975,14.413559548318247,64.2474462587009,Lower-middle-income countries,2.8150897026062,0.240735232830048,0.228211045265198,0.364509067185839,-0.005766483392947386
Albania,2002,7.413914893130702,17287.470703125,5515.942321771346,10.56,8.342437112474126,11.283571148623826,11.650889203150975,65.9914650336802,Lower-middle-income countries,2.8291015625,0.251809477806091,0.239019572734833,0.353127709115507,-0.004409724697541417
Albania,2003,10.337220943631742,19072.255859375,6116.650928189005,8.39,8.16100517905911,8.342437112474126,11.283571148623826,64.8232150960777,Lower-middle-income countries,2.84318327903748,0.259292393922806,0.236986771225929,0.397806117380109,-0.005119505501921751
Albania,2004,9.55274307258982,20853.2734375,6729.777912656999,6.51,7.313461360869307,8.16100517905911,8.342437112474126,65.0379383187697,Lower-middle-income countries,2.85733485221863,0.28633925318718,0.250434845685959,0.458731596166549,-0.006251201642092807
Albania,2005,8.186054055078706,22467.828125,7303.857871130848,1.91,7.334096138035523,7.313461360869307,8.16100517905911,69.1162926602322,Lower-middle-income countries,2.87155675888062,0.293757319450378,0.251077383756638,0.455695947509424,-0.00728705100059579
Albania,2006,9.161417789615456,24420.517578125,8004.603886419963,1.39,6.577685059338328,7.334096138035523,7.313461360869307,72.2019089483674,Lower-middle-income countries,2.87803173065186,0.318196386098862,0.228437557816505,0.428669740988354,-0.008274939465156894
Albania,2007,9.09066916469019,26499.765625,8766.376521848155,7.92,5.841986000194025,6.577685059338328,7.334096138035523,79.9119008919954,Lower-middle-income countries,2.884521484375,0.31713005900383,0.227313444018364,0.457488613880864,-0.009194466336823748
Albania,2008,9.71455271676156,28913.884765625,9660.728705858473,4.4,5.1298334201311855,5.841986000194025,6.577685059338328,75.2485472798728,Lower-middle-income countries,2.89102554321289,0.318625867366791,0.22015044093132,0.490800203904173,-0.009959494320712414
Albania,2009,8.341287916806017,31098.84765625,10501.120438892189,1.14,4.87799274379859,5.1298334201311855,5.841986000194025,73.3213575646169,Upper-middle-income countries,2.89754462242126,0.30174058675766,0.222281411290169,0.429435338419839,-0.010564034983388648
Albania,2010,1.6053324977502115,31252.564453125,10671.05872565747,6.43,4.8480612684005635,4.87799274379859,5.1298334201311855,75.5325329687378,Upper-middle-income countries,2.90407800674438,0.273024380207062,0.222167447209358,0.411530981560509,-0.011122655307051366
Albania,2011,5.319764683738093,32766.37109375,11254.104783558601,3.41,4.5610986336149475,4.8480612684005635,4.87799274379859,80.6989985298954,Lower-middle-income countries,2.93933033943176,0.26684507727623,0.205883845686913,0.446265860623463,-0.005896364245144392
Albania,2012,2.422689933197475,33552.59765625,11530.086438455068,5.76,3.519983745731764,4.5610986336149475,4.8480612684005635,76.9683583166821,Upper-middle-income countries,2.98676872253418,0.245835155248642,0.19441194832325,0.408784541638368,-0.0005153304034610784
