,country,year,log_gdppc_growth,tariff,tariff_sd,trade_gdp,income_group
0,Albania,1997,-20.280173718424166,19.35,7.81,44.7293780649181,Low-income countries
1,Albania,1997,-20.280173718424166,13.59,5.96,44.7293780649181,Low-income countries
2,Albania,1997,-20.280173718424166,7.79,5.5,44.7293780649181,Low-income countries
3,Albania,1997,-20.280173718424166,12.37,5.48,44.7293780649181,Low-income countries
4,Albania,2000,10.814409753199428,10.36,5.82,61.6092610436407,Lower-middle-income countries
5,Albania,2000,10.814409753199428,8.67,5.14,61.6092610436407,Lower-middle-income countries
6,Albania,2000,10.814409753199428,5.6,3.49,61.6092610436407,Lower-middle-income countries
7,Albania,2000,10.814409753199428,15.3,6.16,61.6092610436407,Lower-middle-income countries
8,Albania,2001,9.658315884332147,5.6,3.46,64.2474462587009,Lower-middle-income countries
9,Albania,2001,9.658315884332147,8.58,5.12,64.2474462587009,Lower-middle-income countries
10,Albania,2001,9.658315884332147,15.43,6.14,64.2474462587009,Lower-middle-income countries
11,Albania,2001,9.658315884332147,10.3,5.82,64.2474462587009,Lower-middle-income countries
12,Albania,2002,7.413914893130702,10.56,5.04,65.9914650336802,Lower-middle-income countries
13,Albania,2002,7.413914893130702,8.45,5.26,65.9914650336802,Lower-middle-income countries
14,Albania,2002,7.413914893130702,6.9,4.88,65.9914650336802,Lower-middle-income countries
15,Albania,2002,7.413914893130702,3.11,3.37,65.9914650336802,Lower-middle-income countries
16,Albania,2003,10.337220943631742,8.39,5.91,64.8232150960777,Lower-middle-income countries
17,Albania,2003,10.337220943631742,6.81,4.94,64.8232150960777,Lower-middle-income countries
18,Albania,2003,10.337220943631742,3.08,3.37,64.8232150960777,Lower-middle-income countries
19,Albania,2003,10.337220943631742,10.21,5.34,64.8232150960777,Lower-middle-income countries
20,Albania,2004,9.55274307258982,6.51,4.57,65.0379383187697,Lower-middle-income countries
21,Albania,2004,9.55274307258982,1.9,3.23,65.0379383187697,Lower-middle-income countries
22,Albania,2004,9.55274307258982,9.43,5.53,65.0379383187697,Lower-middle-income countries
23,Albania,2004,9.55274307258982,7.73,5.5,65.0379383187697,Lower-middle-income countries
24,Albania,2005,8.186054055078706,1.91,3.82,69.1162926602322,Lower-middle-income countries
